                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.1263,                  1.632,                 1.1178,                 1.1604,                0.88154,                0.74885,                0.89926,                0.70429,                0.88154,                0.74885,                0.86972,                0.63508,                0.87707,                 1.2867,                0.92243,                 1.0127,              0.0001882,              0.0001882,              0.0001882
                     84,                0.84869,                 1.3439,                 0.9622,                 1.1389,                0.88154,                0.74885,                0.89926,                0.70429,                0.88154,                0.74885,                0.86972,                0.63508,                0.87707,                 1.2867,                0.92243,                 1.0127,              0.0001783,              0.0001783,              0.0001783
                     85,                   1.09,                  1.622,                 1.1117,                 1.2142,                0.88154,                0.74885,                0.89926,                0.70429,                0.88154,                0.74885,                0.86972,                0.63508,                0.87707,                 1.2867,                0.92243,                 1.0127,              0.0001684,              0.0001684,              0.0001684
                     86,                0.91849,                 1.4634,                 0.9613,                 1.1194,                0.89569,                0.74841,                0.89616,                0.69059,                0.89569,                0.74841,                0.85788,                0.62946,                0.85781,                 1.2194,                0.85539,                0.99495,              0.0001585,              0.0001585,              0.0001585
                     87,                0.87043,                 1.4028,                0.95581,                  1.154,                0.89569,                0.74841,                0.89616,                0.69059,                0.89569,                0.74841,                0.85788,                0.62946,                0.85781,                 1.2194,                0.85539,                0.99495,              0.0001486,              0.0001486,              0.0001486
                     88,                0.94044,                 1.4647,                0.98935,                 1.1131,                0.89569,                0.74841,                0.89616,                0.69059,                0.89569,                0.74841,                0.85788,                0.62946,                0.85781,                 1.2194,                0.85539,                0.99495,              0.0001387,              0.0001387,              0.0001387
                     89,                0.89499,                 1.3895,                0.95979,                 1.0965,                0.89569,                0.74841,                0.89616,                0.69059,                0.89569,                0.74841,                0.85788,                0.62946,                0.85781,                 1.2194,                0.85539,                0.99495,              0.0001288,              0.0001288,              0.0001288
                     90,                0.95022,                 1.4058,                 1.2795,                 1.2092,                0.87736,                0.75581,                0.89856,                0.70432,                0.87736,                0.75581,                  0.869,                0.65466,                0.84258,                 1.1817,                0.80354,                0.98615,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.2204,                 1.7632,                 1.7988,                 1.3798,                0.87736,                0.75581,                0.89856,                0.70432,                0.87736,                0.75581,                  0.869,                0.65466,                0.84258,                 1.1817,                0.80354,                0.98615,               0.000109,               0.000109,               0.000109
                     92,                0.97873,                 1.2887,                 1.3263,                 1.2826,                0.87736,                0.75581,                0.89856,                0.70432,                0.87736,                0.75581,                  0.869,                0.65466,                0.84258,                 1.1817,                0.80354,                0.98615,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.84305,                 1.4017,                 1.3152,                 1.0909,                0.87736,                0.75581,                0.89856,                0.70432,                0.87736,                0.75581,                  0.869,                0.65466,                0.84258,                 1.1817,                0.80354,                0.98615,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.97656,                 1.2835,                  1.448,                 1.3193,                0.80885,                0.82051,                0.91922,                 0.7232,                0.80885,                0.82051,                0.87996,                0.66561,                0.82447,                 1.1575,                0.78651,                0.97673,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.92079,                 1.2496,                 1.1939,                 1.2531,                0.80885,                0.82051,                0.91922,                 0.7232,                0.80885,                0.82051,                0.87996,                0.66561,                0.82447,                 1.1575,                0.78651,                0.97673,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.98245,                 1.4687,                 1.0881,                 1.1829,                0.80885,                0.82051,                0.91922,                 0.7232,                0.80885,                0.82051,                0.87996,                0.66561,                0.82447,                 1.1575,                0.78651,                0.97673,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.94403,                 1.6405,                 1.1806,                 1.1105,                0.80885,                0.82051,                0.91922,                 0.7232,                0.80885,                0.82051,                0.87996,                0.66561,                0.82447,                 1.1575,                0.78651,                0.97673,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.89728,                 1.1948,                 1.3007,                 1.1878,                0.72121,                0.85165,                 0.9238,                0.73777,                0.70564,                0.82051,                0.88375,                0.65857,                0.81495,                 1.1487,                0.77438,                 0.9724,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.0598,                 1.5412,                 1.1897,                 1.1869,                0.72121,                0.85165,                 0.9238,                0.73777,                0.70564,                0.82051,                0.88375,                0.65857,                0.81495,                 1.1487,                0.77438,                 0.9724,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                  1.061,                 1.3438,                 1.2195,                 1.3254,                0.72121,                0.85165,                 0.9238,                0.73777,                0.70564,                0.82051,                0.88375,                0.65857,                0.81495,                 1.1487,                0.77438,                 0.9724,               1.99e-05,               1.99e-05,               1.99e-05
